ID,PROMO_ID,MCC_GROUP,MERCHANT_CATEGORY,RELIGION,GENDER,SEGMENTATION,TOTAL_ASSETS,ACCOUNT_AGE,TRANSACTION_TIME,START_DATE,END_DATE,UPDATE_BY,UPDATED_TIME,CREATED_BY,CREATED_TIME
dCC4hrqetZK4nuryZkmZ0,PROMO_00034,IBOX,Lifestyle,Konghucu,F,Working Professionals,3,5,WEEKDAY - WORKING TIME,06/04/25,01/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
B8vQQxBfyepjsjiYl9dwC,PROMO_00035,SUPERINDO,Travel & Transportation,Christian,F,Wealthy Achievers,5,5,WEEKEND - WEEKEND,10/04/25,17/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
O8XOadrvvXX5myEOmea4H,PROMO_00036,ERAFONE,E-Commerce,Konghucu,M,Silver Ager,5,3,WEEKDAY - RESTING TIME,05/04/25,24/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
DcdMN4UkVSM3VXRQCXZd7,PROMO_00037,BARAYA,Gadget & Electronics,Christian,F,Mature High Networth,1,5,WEEKDAY - TRAVELING TIME,02/05/25,29/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
44bjwEzt9aXw4vypfx692,PROMO_00038,INDOMARET,E-Commerce,Konghucu,F,Wealthy Achievers,5,4,WEEKDAY - WORKING TIME,03/01/25,17/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
Xzp2QzBlSKPeiQiHM05kL,PROMO_00039,INDOMARET,Gadget & Electronics,Others,F,Emerging Wealth,2,2,WEEKDAY - RESTING TIME,06/04/25,20/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
LmY5km6p2P4CP0hToGW26,PROMO_00040,DAYTRANS,Food & Beverage,Hindu,F,Mature High Networth,5,3,WEEKDAY - WORKING TIME,24/05/25,04/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
KHQT3J72qms9wMUIpNvg3,PROMO_00041,INDOMARET,E-Commerce,Konghucu,F,Silver Ager,3,2,WEEKDAY - WORKING TIME,10/04/25,18/08/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
nJgqSgGKHlB1zWl-hPxJQ,PROMO_00042,BARAYA,Telco,Islam,F,Young Gen & Early Jobber,2,4,WEEKDAY - TRAVELING TIME,09/06/25,12/08/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
xOzqyx-iOMLo46VKGdNkD,PROMO_00043,BARAYA,Food & Beverage,Islam,M,Minimal,5,3,WEEKDAY - RESTING TIME,10/02/25,24/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
mLxEvFCHTYCz5UMsOMlHM,PROMO_00044,IKEA,Others/Miscellaneous,Buddha,F,Minimal,5,1,WEEKEND - WEEKEND,14/11/24,04/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
5rSq5FCk4wLv3VdWAEUXy,PROMO_00045,IBOX,Food & Beverage,Catholic,M,All Segment,4,5,WEEKDAY - RESTING TIME,15/11/24,20/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
JP2l5Gl_Sx74HZJDt9Bfn,PROMO_00046,ALFAMART,Health & Beauty,Hindu,F,Minimal,3,3,WEEKDAY - TRAVELING TIME,30/04/25,27/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
qEbPCLyw-HzzmbTFonOll,PROMO_00047,GRAPARI,Others/Miscellaneous,Hindu,M,All Segment,5,1,WEEKEND - WEEKEND,05/03/25,20/12/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
PQjhM3_I5I-5B2X-s35Fq,PROMO_00048,GERAI IM3,Others/Miscellaneous,Konghucu,M,Silver Ager,4,4,WEEKDAY - WORKING TIME,21/03/25,02/12/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
DtiZ16UEOB1J9_jSGkjqq,PROMO_00049,INDOMARET,E-Commerce,Christian,M,All Segment,5,2,WEEKDAY - TRAVELING TIME,27/03/25,14/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
hCtUBuds2jTvShDCcaaGw,PROMO_00050,DAYTRANS,Lifestyle,Konghucu,F,All Segment,5,4,WEEKDAY - RESTING TIME,10/05/25,23/10/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
vE2EGJWVe6cHhDPMbv-v2,PROMO_00051,INDOMARET,Telco,Islam,M,Minimal,1,4,WEEKDAY - RESTING TIME,06/01/25,03/12/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
jqkWzX2rLJMz-pmuYOLFa,PROMO_00052,GERAI IM3,Telco,Konghucu,M,Young Gen & Early Jobber,1,2,WEEKDAY - WORKING TIME,28/03/25,29/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
acG_3XyPZSEYTMytzyZb2,PROMO_00053,IBOX,Health & Beauty,Christian,F,Silver Ager,3,3,WEEKDAY - TRAVELING TIME,16/05/25,07/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
GWnahdj7hUD7w2TXB40en,PROMO_00054,DECATHLON,Food & Beverage,Konghucu,M,Working Professionals,3,1,WEEKDAY - WORKING TIME,14/05/25,13/10/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
TB4kXte3xXfdbschtDBs9,PROMO_00055,IKEA,Gadget & Electronics,Konghucu,M,Young Gen & Early Jobber,4,5,WEEKEND - WEEKEND,25/12/24,15/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
KbYBZXdPtk_88P3myU3Bh,PROMO_00056,BARAYA,Food & Beverage,Konghucu,F,Wealthy Achievers,2,5,WEEKEND - WEEKEND,26/01/25,06/08/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
dPxiSyZpCqfqKXjyn1zhK,PROMO_00057,IKEA,E-Commerce,Islam,M,Wealthy Achievers,2,4,WEEKDAY - RESTING TIME,16/05/25,02/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
KNbjyx2T90sQQ2KJj4r7j,PROMO_00058,ERAFONE,Others/Miscellaneous,Christian,F,Minimal,5,2,WEEKDAY - TRAVELING TIME,02/11/24,29/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
XCeyQRLh7UCxfMUfUuurv,PROMO_00059,INDOMARET,Telco,Islam,M,All Segment,1,5,WEEKDAY - WORKING TIME,11/02/25,09/08/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
7KVMgVAhmwUKULwf4zstR,PROMO_00060,ALFAMART,Health & Beauty,Konghucu,F,All Segment,4,4,WEEKDAY - TRAVELING TIME,26/11/24,28/10/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
8-A-4jtEyLxzebpSsylxz,PROMO_00061,DECATHLON,Food & Beverage,Christian,M,Young Gen & Early Jobber,5,1,WEEKEND - WEEKEND,15/06/25,04/08/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
40zHd7lI_nV0D176rTs8Y,PROMO_00062,ERAFONE,Others/Miscellaneous,Islam,F,Working Professionals,2,1,WEEKEND - WEEKEND,05/03/25,03/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
HM-XydD3UdJaaL65umTDA,PROMO_00063,IBOX,Gadget & Electronics,Catholic,F,Minimal,4,2,WEEKDAY - WORKING TIME,25/02/25,23/08/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
NZcyaVYrsv2OnCbxBUh2J,PROMO_00064,INDOMARET,Health & Beauty,Konghucu,M,Young Gen & Early Jobber,4,2,WEEKDAY - WORKING TIME,17/12/24,24/08/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
9RUMsFRGQ-cxxXiHwe8vZ,PROMO_00065,ERAFONE,Lifestyle,Konghucu,F,Young Gen & Early Jobber,1,1,WEEKDAY - WORKING TIME,29/06/25,31/12/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
tH3PR3f1sl42uMKi_gcDT,PROMO_00066,INDOMARET,Food & Beverage,Christian,M,Wealthy Achievers,5,3,WEEKDAY - WORKING TIME,23/12/24,04/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
aTE642S8e8w8usyiSR5vq,PROMO_00067,DAYTRANS,Gadget & Electronics,Christian,F,Silver Ager,3,4,WEEKEND - WEEKEND,18/06/25,23/10/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
yxKVTu1ARUL6T81hYefy0,PROMO_00068,IBOX,Others/Miscellaneous,Others,F,Minimal,1,4,WEEKDAY - WORKING TIME,11/03/25,02/08/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
1MRjrf1Hy6HTvXLo5MtHc,PROMO_00069,GRAPARI,Lifestyle,Christian,F,Working Professionals,3,4,WEEKDAY - TRAVELING TIME,05/12/24,02/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
VmkyRbkw05G69YNglph1-,PROMO_00070,DECATHLON,Gadget & Electronics,Christian,F,Silver Ager,3,1,WEEKDAY - WORKING TIME,09/11/24,08/12/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
aomk77Iby0IbsEpN-Mrbp,PROMO_00071,BARAYA,Gadget & Electronics,Konghucu,F,Wealthy Achievers,4,1,WEEKEND - WEEKEND,25/02/25,24/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
EoeZmG4ICE2f6q0pZctXZ,PROMO_00072,SUPERINDO,Travel & Transportation,Buddha,M,Minimal,3,5,WEEKDAY - WORKING TIME,29/01/25,09/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
DsrA88iqkDCM5SLm9510e,PROMO_00073,BARAYA,Health & Beauty,Buddha,F,Silver Ager,1,1,WEEKDAY - RESTING TIME,19/11/24,11/12/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
rXO5DX74UdSPmVNHECdh-,PROMO_00074,BARAYA,E-Commerce,Catholic,M,Emerging Wealth,1,5,WEEKDAY - RESTING TIME,29/11/24,12/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
sv1vNIG8TAz2mdjp0fY00,PROMO_00075,ERAFONE,Lifestyle,Others,F,Working Professionals,4,4,WEEKEND - WEEKEND,01/01/25,23/10/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
naWvXzeOA5ulNahLVc9dS,PROMO_00076,DECATHLON,Lifestyle,Christian,F,Mature High Networth,3,1,WEEKDAY - TRAVELING TIME,16/01/25,16/08/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
nrZk3NFuMt1HZv7lkGH-X,PROMO_00077,IBOX,Food & Beverage,Konghucu,M,Minimal,1,4,WEEKDAY - RESTING TIME,24/03/25,25/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
JMQXSTc19_DATXAZwr042,PROMO_00078,DECATHLON,Telco,Islam,M,Minimal,3,1,WEEKEND - WEEKEND,18/05/25,12/08/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
w6jb3c_Jvps1SEdFAJcoV,PROMO_00079,DECATHLON,Others/Miscellaneous,Christian,F,Young Gen & Early Jobber,4,1,WEEKEND - WEEKEND,19/02/25,06/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
pLuWICB7lmm7qXfWGnNm_,PROMO_00080,INDOMARET,Food & Beverage,Catholic,M,All Segment,4,3,WEEKDAY - WORKING TIME,26/01/25,10/10/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
2rwGestElJDwvvu3SHbLn,PROMO_00081,IKEA,Health & Beauty,Konghucu,F,Mature High Networth,3,3,WEEKDAY - TRAVELING TIME,24/02/25,29/10/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
a0KNR8VHVHSntglFaXm_I,PROMO_00082,DECATHLON,E-Commerce,Christian,F,Young Gen & Early Jobber,3,5,WEEKDAY - TRAVELING TIME,01/04/25,02/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
v1SjcB_5qHzQFfmV-E_j-,PROMO_00083,SUPERINDO,Gadget & Electronics,Islam,M,Mature High Networth,5,5,WEEKDAY - WORKING TIME,16/02/25,06/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
TuRvYOUFyXjZRfU2o3yhJ,PROMO_00084,GERAI IM3,Lifestyle,Others,M,Silver Ager,5,5,WEEKDAY - WORKING TIME,30/04/25,04/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
iLFBjyi29zjVVzBjlzsFf,PROMO_00085,ERAFONE,Telco,Others,M,Silver Ager,5,2,WEEKDAY - WORKING TIME,23/03/25,24/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
Z0JNGqNSC6LSLmeLjFLYF,PROMO_00086,SUPERINDO,Gadget & Electronics,Christian,M,Working Professionals,1,1,WEEKEND - WEEKEND,29/11/24,04/10/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
3iN082O4mnvMVB4vHO3Xp,PROMO_00087,GRAPARI,Health & Beauty,Hindu,M,Emerging Wealth,4,4,WEEKDAY - TRAVELING TIME,04/11/24,19/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
1wW8Q0YyQ2d20h9_WKt65,PROMO_00088,DAYTRANS,Food & Beverage,Islam,F,Young Gen & Early Jobber,3,1,WEEKDAY - WORKING TIME,02/01/25,23/12/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
7sv41AjOmvFSCnK1w0omI,PROMO_00089,IBOX,Health & Beauty,Buddha,F,Minimal,5,5,WEEKDAY - RESTING TIME,18/12/24,29/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
ZJAq1DIi7WGTZKx6QkQL6,PROMO_00090,DECATHLON,Gadget & Electronics,Catholic,F,Young Gen & Early Jobber,4,5,WEEKEND - WEEKEND,16/11/24,12/10/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
ZPNDTbJz20DujEdj1LinE,PROMO_00091,GERAI IM3,Lifestyle,Islam,M,Working Professionals,5,5,WEEKDAY - TRAVELING TIME,06/12/24,16/10/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
G39t7AKlpuwOJIoFVwPNM,PROMO_00092,ERAFONE,Telco,Buddha,M,Young Gen & Early Jobber,4,1,WEEKDAY - RESTING TIME,12/12/24,17/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
O2fRIjQ6JSffSBArKBSh4,PROMO_00093,DECATHLON,Lifestyle,Catholic,M,Emerging Wealth,2,2,WEEKEND - WEEKEND,06/01/25,14/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
TpGB-hy4qRmCaOYqTLhMQ,PROMO_00094,BARAYA,Telco,Buddha,F,Minimal,2,2,WEEKDAY - WORKING TIME,01/11/24,02/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
dosomi3s5rMm1ERknqoDk,PROMO_00095,ALFAMART,Lifestyle,Christian,M,Mature High Networth,2,1,WEEKDAY - RESTING TIME,26/11/24,10/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
3Yd7mKPBTVodRurORIL_f,PROMO_00096,ERAFONE,Lifestyle,Islam,F,Wealthy Achievers,2,2,WEEKDAY - TRAVELING TIME,05/03/25,19/12/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
btKvjJIa-Ji77K5Y-Y6xB,PROMO_00097,ALFAMART,Food & Beverage,Konghucu,M,Working Professionals,3,1,WEEKDAY - WORKING TIME,27/12/24,18/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
00sCHgcwrAE8iqeljP6HC,PROMO_00098,BARAYA,Food & Beverage,Others,M,Young Gen & Early Jobber,2,5,WEEKDAY - TRAVELING TIME,23/04/25,22/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
KkjwDGr0pWd7yZS62kzgS,PROMO_00099,DAYTRANS,Others/Miscellaneous,Islam,F,Working Professionals,1,5,WEEKDAY - RESTING TIME,12/12/24,12/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
AcQs_vLdxp2KuNyPu31lf,PROMO_00100,IBOX,Health & Beauty,Catholic,M,Minimal,3,4,WEEKEND - WEEKEND,24/03/25,19/08/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
0EDe39P5nmsotxe0NO9uD,PROMO_00101,INDOMARET,Lifestyle,Konghucu,M,Emerging Wealth,2,1,WEEKDAY - WORKING TIME,22/11/24,19/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
ajUtD71nguhJZJ0UHGwvA,PROMO_00102,ERAFONE,Travel & Transportation,Others,F,Silver Ager,1,3,WEEKDAY - WORKING TIME,21/01/25,02/08/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
EE70mHHyRGscGmtLv5-vu,PROMO_00103,IKEA,Food & Beverage,Hindu,F,Wealthy Achievers,1,1,WEEKDAY - RESTING TIME,06/04/25,16/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
ZGAxgy4ZNd99QJHFAVIEB,PROMO_00104,BARAYA,Telco,Christian,M,Young Gen & Early Jobber,4,2,WEEKDAY - TRAVELING TIME,26/04/25,04/12/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
rJ8Omy96CjXcRALw2Rc9C,PROMO_00105,ERAFONE,Food & Beverage,Others,M,Emerging Wealth,2,3,WEEKDAY - WORKING TIME,12/06/25,22/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
