PROMO_ID,MCC_GROUP,MERCHANT_CATEGORY,GENDER,RELIGION,PROMO_LOCATION,START_DATE,END_DATE,SEGMENTATION,TOTAL_ASSETS,ACCOUNT_AGE,TRANSACTION_TIME
PROMO_0062,SOLARIA,Makanan dan Minuman,Laki-laki,Hindu,Bandung,12/02/24,19/09/24,Young Gen & Early Jobber,Group 2,Group 5,WEEKEND - WEEKEND
PROMO_0063,SHOPEE,Makanan dan Minuman,Laki-laki,Konghucu,Semarang,11/01/24,07/07/24,Young Gen & Early Jobber,Group 3,Group 2,WEEKDAY - RESTING TIME
PROMO_0064,INDOMARET,Makanan dan Minuman,Perempuan,Islam,Yogyakarta,04/02/24,09/10/24,Young Gen & Early Jobber,Group 3,Group 1,WEEKEND - WEEKEND
PROMO_0065,FORE,Gaya Hidup,Laki-laki,Hindu,Semarang,16/03/24,24/09/24,Wealthy Achievers,Group 1,Group 5,WEEKDAY - RESTING TIME
PROMO_0066,TUKU,Travel dan Transportasi,Laki-laki,Agama Lainnya,Balikpapan,20/01/24,08/09/24,Working Professionals,Group 3,Group 5,WEEKEND - WEEKEND
PROMO_0067,IBOX,Kesehatan dan Kecantikan,Perempuan,Kristen,Semarang,15/03/24,09/07/24,Emerging Wealth,Group 5,Group 3,WEEKDAY - TRAVELING TIME
PROMO_0068,GUARDIAN,Makanan dan Minuman,Laki-laki,Katolik,Jakarta,28/03/24,20/09/24,Young Gen & Early Jobber,Group 5,Group 5,WEEKEND - WEEKEND
PROMO_0069,FORE,Kesehatan dan Kecantikan,Laki-laki,Buddha,Medan,29/01/24,03/05/24,Working Professionals,Group 4,Group 2,WEEKDAY - WORKING TIME
PROMO_0070,ERAFONE,Gadget dan Elektronik,Perempuan,Katolik,Nasional,03/01/24,09/06/24,All Segment,Group 1,Group 5,WEEKDAY - WORKING TIME
PROMO_0071,ALFAMART,Makanan dan Minuman,Laki-laki,Konghucu,Papua,07/03/24,24/08/24,Young Gen & Early Jobber,Group 1,Group 1,WEEKEND - WEEKEND
PROMO_0072,IKEA,Kesehatan dan Kecantikan,Perempuan,Kristen,Surabaya,04/03/24,25/08/24,Young Gen & Early Jobber,Group 3,Group 4,WEEKDAY - RESTING TIME
PROMO_0073,FORE,Gadget dan Elektronik,Perempuan,Hindu,Nasional,19/03/24,21/05/24,Wealthy Achievers,Group 3,Group 2,WEEKDAY - TRAVELING TIME
PROMO_0074,SOCIOLLA,Telco,Laki-laki,Konghucu,Jakarta,09/02/24,10/08/24,Mature High Networth,Group 5,Group 2,WEEKEND - WEEKEND
PROMO_0075,ERAFONE,Gaya Hidup,Laki-laki,Buddha,Palembang,13/03/24,18/06/24,Silver Ager,Group 3,Group 1,WEEKDAY - RESTING TIME
PROMO_0076,TUKU,Gaya Hidup,Perempuan,Konghucu,Jakarta,31/01/24,19/05/24,Minimal,Group 1,Group 1,WEEKDAY - WORKING TIME
PROMO_0077,SOLARIA,Kesehatan dan Kecantikan,Perempuan,Buddha,Bandung,25/02/24,14/06/24,Mature High Networth,Group 4,Group 2,WEEKDAY - TRAVELING TIME
PROMO_0078,DAYTRANS,Kesehatan dan Kecantikan,Laki-laki,Agama Lainnya,Papua,19/02/24,18/09/24,Emerging Wealth,Group 4,Group 1,WEEKDAY - TRAVELING TIME
PROMO_0079,GUARDIAN,Telco,Laki-laki,Kristen,Semarang,18/01/24,23/10/24,Mature High Networth,Group 5,Group 1,WEEKEND - WEEKEND
PROMO_0080,SHOPEE,E-Commerce,Perempuan,Kristen,Padang,26/02/24,09/09/24,All Segment,Group 3,Group 1,WEEKDAY - RESTING TIME
PROMO_0081,SHOPEE,Gaya Hidup,Laki-laki,Islam,Surabaya,01/01/24,08/06/24,All Segment,Group 3,Group 4,WEEKDAY - RESTING TIME
PROMO_0082,ERAFONE,Gaya Hidup,Perempuan,Agama Lainnya,Medan,05/02/24,14/08/24,Emerging Wealth,Group 2,Group 2,WEEKEND - WEEKEND
PROMO_0083,SOCIOLLA,Travel dan Transportasi,Laki-laki,Agama Lainnya,Makassar,29/01/24,22/05/24,Emerging Wealth,Group 5,Group 1,WEEKDAY - WORKING TIME
PROMO_0084,IKEA,Kesehatan dan Kecantikan,Perempuan,Kristen,Balikpapan,30/01/24,06/06/24,Working Professionals,Group 5,Group 1,WEEKDAY - RESTING TIME
PROMO_0085,IKEA,Makanan dan Minuman,Perempuan,Hindu,Jakarta,22/03/24,10/06/24,Young Gen & Early Jobber,Group 4,Group 5,WEEKDAY - TRAVELING TIME
PROMO_0086,DAYTRANS,Makanan dan Minuman,Laki-laki,Agama Lainnya,Semarang,13/03/24,18/07/24,All Segment,Group 2,Group 4,WEEKDAY - WORKING TIME
PROMO_0087,SOLARIA,Makanan dan Minuman,Perempuan,Konghucu,Surabaya,20/02/24,12/09/24,All Segment,Group 2,Group 1,WEEKDAY - WORKING TIME
PROMO_0088,IKEA,Makanan dan Minuman,Laki-laki,Buddha,Surabaya,08/01/24,16/05/24,Young Gen & Early Jobber,Group 3,Group 4,WEEKEND - WEEKEND
PROMO_0089,TUKU,Makanan dan Minuman,Perempuan,Buddha,Denpasar,13/03/24,17/05/24,Wealthy Achievers,Group 2,Group 3,WEEKDAY - RESTING TIME
PROMO_0090,ERAFONE,Gadget dan Elektronik,Laki-laki,Kristen,Jakarta,05/03/24,13/10/24,Young Gen & Early Jobber,Group 3,Group 1,WEEKEND - WEEKEND
PROMO_0091,SHOPEE,Telco,Perempuan,Konghucu,Papua,26/01/24,15/07/24,Working Professionals,Group 4,Group 4,WEEKDAY - RESTING TIME
PROMO_0092,SOCIOLLA,Makanan dan Minuman,Perempuan,Agama Lainnya,Balikpapan,22/02/24,12/05/24,All Segment,Group 1,Group 4,WEEKDAY - WORKING TIME
PROMO_0093,SOLARIA,Gadget dan Elektronik,Laki-laki,Kristen,Semarang,31/03/24,21/05/24,All Segment,Group 5,Group 3,WEEKEND - WEEKEND
PROMO_0094,DAYTRANS,Travel dan Transportasi,Laki-laki,Konghucu,Papua,27/03/24,17/07/24,Wealthy Achievers,Group 2,Group 5,WEEKDAY - WORKING TIME
PROMO_0095,GUARDIAN,Telco,Laki-laki,Buddha,Nasional,19/03/24,13/05/24,All Segment,Group 4,Group 5,WEEKEND - WEEKEND
PROMO_0096,TUKU,Gadget dan Elektronik,Perempuan,Islam,Jakarta,07/02/24,23/08/24,Minimal,Group 3,Group 3,WEEKDAY - RESTING TIME
PROMO_0097,DAYTRANS,E-Commerce,Perempuan,Agama Lainnya,Padang,28/03/24,10/09/24,Mature High Networth,Group 5,Group 1,WEEKDAY - TRAVELING TIME
PROMO_0098,FORE,Travel dan Transportasi,Perempuan,Kristen,Papua,10/03/24,14/09/24,Wealthy Achievers,Group 2,Group 5,WEEKDAY - WORKING TIME
PROMO_0099,FORE,Makanan dan Minuman,Perempuan,Konghucu,Bandung,18/03/24,16/06/24,Working Professionals,Group 4,Group 4,WEEKDAY - RESTING TIME
PROMO_0100,SOLARIA,Gaya Hidup,Perempuan,Hindu,Makassar,08/02/24,15/08/24,Emerging Wealth,Group 4,Group 5,WEEKDAY - RESTING TIME
PROMO_0101,IBOX,Gaya Hidup,Perempuan,Kristen,Bandung,22/01/24,15/10/24,Wealthy Achievers,Group 1,Group 1,WEEKEND - WEEKEND
PROMO_0102,SOLARIA,Makanan dan Minuman,Laki-laki,Buddha,Nasional,10/03/24,12/06/24,Working Professionals,Group 2,Group 5,WEEKDAY - RESTING TIME
PROMO_0103,SOCIOLLA,E-Commerce,Perempuan,Islam,Bandung,19/02/24,17/05/24,Silver Ager,Group 5,Group 3,WEEKEND - WEEKEND
PROMO_0104,SOCIOLLA,Others/Miscellaneous (Promo lainnya),Perempuan,Katolik,Medan,17/02/24,18/08/24,Wealthy Achievers,Group 1,Group 2,WEEKDAY - WORKING TIME
PROMO_0105,SHOPEE,Makanan dan Minuman,Perempuan,Konghucu,Yogyakarta,03/02/24,20/10/24,Silver Ager,Group 3,Group 3,WEEKDAY - WORKING TIME
PROMO_0106,SOLARIA,Gadget dan Elektronik,Laki-laki,Agama Lainnya,Jakarta,12/01/24,30/07/24,Minimal,Group 4,Group 5,WEEKDAY - WORKING TIME
PROMO_0107,DAYTRANS,Gaya Hidup,Laki-laki,Hindu,Semarang,29/03/24,20/10/24,All Segment,Group 3,Group 1,WEEKDAY - TRAVELING TIME
PROMO_0108,SHOPEE,Gadget dan Elektronik,Laki-laki,Konghucu,Malang,05/03/24,15/10/24,Silver Ager,Group 1,Group 5,WEEKDAY - TRAVELING TIME
PROMO_0109,SOCIOLLA,Gadget dan Elektronik,Laki-laki,Agama Lainnya,Jakarta,21/01/24,08/06/24,Young Gen & Early Jobber,Group 3,Group 1,WEEKDAY - RESTING TIME
PROMO_0110,ALFAMART,Kesehatan dan Kecantikan,Laki-laki,Islam,Nasional,21/01/24,14/10/24,All Segment,Group 3,Group 1,WEEKDAY - WORKING TIME
PROMO_0111,SOCIOLLA,Others/Miscellaneous (Promo lainnya),Laki-laki,Agama Lainnya,Padang,17/03/24,04/05/24,Silver Ager,Group 3,Group 5,WEEKEND - WEEKEND
PROMO_0112,INDOMARET,Kesehatan dan Kecantikan,Laki-laki,Islam,Nasional,07/02/24,16/10/24,Minimal,Group 1,Group 4,WEEKDAY - RESTING TIME
PROMO_0113,GUARDIAN,Gadget dan Elektronik,Laki-laki,Agama Lainnya,Bandung,24/03/24,28/10/24,Wealthy Achievers,Group 4,Group 1,WEEKDAY - RESTING TIME
PROMO_0114,SHOPEE,Others/Miscellaneous (Promo lainnya),Laki-laki,Katolik,Semarang,10/01/24,11/10/24,Wealthy Achievers,Group 1,Group 1,WEEKDAY - WORKING TIME
PROMO_0115,DAYTRANS,Gaya Hidup,Laki-laki,Kristen,Yogyakarta,10/01/24,05/06/24,Silver Ager,Group 3,Group 1,WEEKDAY - RESTING TIME
PROMO_0116,TUKU,Telco,Perempuan,Katolik,Manado,28/03/24,27/07/24,Wealthy Achievers,Group 4,Group 3,WEEKDAY - WORKING TIME
PROMO_0117,INDOMARET,Kesehatan dan Kecantikan,Perempuan,Islam,Jakarta,06/02/24,28/05/24,Wealthy Achievers,Group 4,Group 1,WEEKDAY - RESTING TIME
PROMO_0118,IKEA,Travel dan Transportasi,Laki-laki,Konghucu,Semarang,24/01/24,26/08/24,All Segment,Group 4,Group 3,WEEKEND - WEEKEND
PROMO_0119,TUKU,Makanan dan Minuman,Laki-laki,Kristen,Balikpapan,28/02/24,20/10/24,Minimal,Group 2,Group 5,WEEKDAY - WORKING TIME
PROMO_0120,ALFAMART,Makanan dan Minuman,Perempuan,Katolik,Nasional,19/03/24,22/10/24,Working Professionals,Group 5,Group 3,WEEKDAY - TRAVELING TIME
PROMO_0121,TUKU,E-Commerce,Perempuan,Buddha,Papua,23/01/24,25/08/24,Wealthy Achievers,Group 3,Group 1,WEEKDAY - TRAVELING TIME
PROMO_0122,TUKU,Travel dan Transportasi,Perempuan,Katolik,Medan,15/01/24,16/08/24,Emerging Wealth,Group 1,Group 1,WEEKDAY - RESTING TIME
PROMO_0123,IKEA,Travel dan Transportasi,Perempuan,Kristen,Papua,25/01/24,21/10/24,Mature High Networth,Group 2,Group 2,WEEKEND - WEEKEND
PROMO_0124,GUARDIAN,Telco,Perempuan,Buddha,Padang,02/02/24,16/05/24,Young Gen & Early Jobber,Group 3,Group 4,WEEKDAY - WORKING TIME
PROMO_0125,IKEA,Makanan dan Minuman,Perempuan,Buddha,Malang,05/03/24,11/10/24,Minimal,Group 4,Group 4,WEEKEND - WEEKEND
PROMO_0126,INDOMARET,Makanan dan Minuman,Perempuan,Konghucu,Bandung,09/03/24,09/06/24,Working Professionals,Group 2,Group 4,WEEKEND - WEEKEND
PROMO_0127,IBOX,E-Commerce,Perempuan,Islam,Yogyakarta,24/02/24,24/10/24,Silver Ager,Group 5,Group 1,WEEKDAY - WORKING TIME
PROMO_0128,ALFAMART,Kesehatan dan Kecantikan,Perempuan,Kristen,Surabaya,26/03/24,13/10/24,Minimal,Group 1,Group 4,WEEKEND - WEEKEND
PROMO_0129,GUARDIAN,Makanan dan Minuman,Laki-laki,Islam,Balikpapan,29/02/24,04/05/24,Emerging Wealth,Group 2,Group 5,WEEKDAY - WORKING TIME
PROMO_0130,IKEA,Gadget dan Elektronik,Laki-laki,Buddha,Surabaya,02/01/24,10/08/24,Mature High Networth,Group 5,Group 2,WEEKDAY - WORKING TIME
PROMO_0131,TUKU,Gadget dan Elektronik,Perempuan,Islam,Surabaya,29/02/24,19/10/24,Young Gen & Early Jobber,Group 4,Group 1,WEEKDAY - WORKING TIME
PROMO_0132,ERAFONE,E-Commerce,Laki-laki,Kristen,Bandung,10/03/24,15/05/24,Young Gen & Early Jobber,Group 5,Group 1,WEEKDAY - RESTING TIME
PROMO_0133,FORE,Kesehatan dan Kecantikan,Laki-laki,Buddha,Makassar,12/03/24,02/06/24,All Segment,Group 2,Group 1,WEEKEND - WEEKEND
PROMO_0134,GUARDIAN,E-Commerce,Laki-laki,Katolik,Surabaya,27/03/24,14/08/24,Minimal,Group 3,Group 3,WEEKDAY - RESTING TIME
PROMO_0135,TUKU,Kesehatan dan Kecantikan,Perempuan,Buddha,Balikpapan,28/01/24,09/10/24,All Segment,Group 3,Group 1,WEEKDAY - WORKING TIME
PROMO_0136,INDOMARET,E-Commerce,Perempuan,Hindu,Malang,12/01/24,28/05/24,All Segment,Group 1,Group 4,WEEKDAY - RESTING TIME
PROMO_0137,INDOMARET,Gaya Hidup,Laki-laki,Agama Lainnya,Makassar,29/03/24,30/09/24,Mature High Networth,Group 3,Group 3,WEEKEND - WEEKEND
PROMO_0138,DAYTRANS,Gaya Hidup,Laki-laki,Konghucu,Medan,07/02/24,08/05/24,Young Gen & Early Jobber,Group 3,Group 2,WEEKDAY - WORKING TIME
PROMO_0139,GUARDIAN,Telco,Laki-laki,Hindu,Bandung,13/02/24,09/10/24,Wealthy Achievers,Group 4,Group 4,WEEKDAY - RESTING TIME
PROMO_0140,IBOX,Gaya Hidup,Laki-laki,Islam,Jakarta,19/03/24,13/09/24,All Segment,Group 3,Group 3,WEEKDAY - RESTING TIME
PROMO_0141,INDOMARET,Makanan dan Minuman,Perempuan,Buddha,Yogyakarta,30/01/24,08/08/24,Minimal,Group 3,Group 2,WEEKEND - WEEKEND
PROMO_0142,SOCIOLLA,Others/Miscellaneous (Promo lainnya),Perempuan,Islam,Malang,10/01/24,05/08/24,Minimal,Group 4,Group 2,WEEKDAY - WORKING TIME
PROMO_0143,SOCIOLLA,E-Commerce,Laki-laki,Agama Lainnya,Semarang,05/02/24,06/10/24,Minimal,Group 2,Group 5,WEEKDAY - WORKING TIME
PROMO_0144,IBOX,Gaya Hidup,Perempuan,Kristen,Balikpapan,05/02/24,27/05/24,Working Professionals,Group 5,Group 2,WEEKDAY - TRAVELING TIME
PROMO_0145,SOCIOLLA,Others/Miscellaneous (Promo lainnya),Perempuan,Konghucu,Surabaya,13/02/24,19/05/24,All Segment,Group 1,Group 2,WEEKDAY - WORKING TIME
PROMO_0146,FORE,Gaya Hidup,Laki-laki,Kristen,Yogyakarta,13/03/24,14/06/24,Minimal,Group 5,Group 4,WEEKDAY - TRAVELING TIME
PROMO_0147,ALFAMART,Telco,Perempuan,Agama Lainnya,Bandung,10/02/24,26/05/24,All Segment,Group 5,Group 5,WEEKDAY - RESTING TIME
PROMO_0148,ERAFONE,Gadget dan Elektronik,Perempuan,Agama Lainnya,Padang,04/03/24,13/08/24,Mature High Networth,Group 3,Group 4,WEEKDAY - WORKING TIME
PROMO_0149,IBOX,Kesehatan dan Kecantikan,Perempuan,Konghucu,Nasional,17/03/24,13/08/24,Working Professionals,Group 5,Group 3,WEEKDAY - TRAVELING TIME
PROMO_0150,ALFAMART,Others/Miscellaneous (Promo lainnya),Perempuan,Buddha,Padang,04/03/24,22/06/24,Emerging Wealth,Group 2,Group 2,WEEKEND - WEEKEND
PROMO_0151,GUARDIAN,Gaya Hidup,Perempuan,Katolik,Papua,21/03/24,27/05/24,Wealthy Achievers,Group 4,Group 4,WEEKEND - WEEKEND
PROMO_0152,DAYTRANS,Gadget dan Elektronik,Laki-laki,Agama Lainnya,Balikpapan,23/01/24,26/08/24,Wealthy Achievers,Group 1,Group 5,WEEKEND - WEEKEND
PROMO_0153,SOCIOLLA,Gadget dan Elektronik,Perempuan,Hindu,Balikpapan,07/03/24,27/10/24,Working Professionals,Group 4,Group 4,WEEKDAY - TRAVELING TIME
